iter	MultiClass
0	1.080701659
1	1.06451884
2	1.051766745
3	1.040167502
4	1.030302658
5	1.022274652
6	1.015514619
7	1.009188143
8	1.003497236
9	0.9987564219
10	0.9942738868
11	0.9904694291
12	0.9872198465
13	0.9835773085
14	0.9807702137
15	0.9778786688
16	0.9753525576
17	0.9731489231
18	0.9712860767
19	0.9694931949
20	0.9677034987
21	0.9658648778
22	0.9644861837
23	0.9630098117
24	0.9617386485
25	0.9604503586
26	0.9591718784
27	0.9579752636
28	0.9570335779
29	0.9560616264
30	0.955062541
31	0.9540545985
32	0.9531979993
33	0.9524737978
34	0.951781123
35	0.9510261707
36	0.9503842638
37	0.9497021505
38	0.9491290703
39	0.948460685
40	0.947969947
41	0.9474128798
42	0.9468382565
43	0.9463728799
44	0.9459571471
45	0.9454412912
46	0.9450102237
47	0.944519078
48	0.9440859547
49	0.9436340793
50	0.9432859995
51	0.9428700821
52	0.9425301911
53	0.9421646297
54	0.941748924
55	0.9414386623
56	0.9411755275
57	0.9408744441
58	0.9404919971
59	0.9401350141
60	0.9397902651
61	0.9395153769
62	0.9391925176
63	0.9388983996
64	0.9385319452
65	0.9383033302
66	0.9380404086
67	0.9377082853
68	0.9375512897
69	0.9372150446
70	0.9369712839
71	0.9367742456
72	0.9365383926
73	0.9362758869
74	0.9360497257
75	0.9358134587
76	0.9356568212
77	0.9354578557
78	0.935149808
79	0.9349269998
80	0.9347122317
81	0.9345044053
82	0.9343676975
83	0.9341894865
84	0.9340118602
85	0.9337906836
86	0.933618378
87	0.9334696773
88	0.9333504244
89	0.9332253329
90	0.9330576681
91	0.9328712226
92	0.932742952
93	0.9326364697
94	0.9324810488
95	0.9322050981
96	0.9320807815
97	0.9319544465
98	0.9318502733
99	0.9317149187
100	0.931588321
101	0.9314378645
102	0.9312329852
103	0.9310692582
104	0.9309010288
105	0.9307721289
106	0.9306868659
107	0.9305318978
108	0.9304092632
109	0.930280421
110	0.9301387274
111	0.9300290739
112	0.9298635221
113	0.9296964646
114	0.9296183239
115	0.9294547894
116	0.9293418774
117	0.9292338862
118	0.9291182068
119	0.9288782935
120	0.9287892129
121	0.9286983659
122	0.9285377372
123	0.9283322204
124	0.9282325153
125	0.9281340287
126	0.9280544783
127	0.9279681512
128	0.9278343596
129	0.9277574063
130	0.9275877833
131	0.9274799181
132	0.927395118
133	0.9273064642
134	0.9271616151
135	0.9270338891
136	0.9269394475
137	0.9268501831
138	0.9267562711
139	0.926616968
140	0.9264807331
141	0.9263531709
142	0.9261969646
143	0.9261188983
144	0.9260517857
145	0.9259552768
146	0.9258709736
147	0.9257967359
148	0.9257034638
149	0.9255838755
150	0.9254641793
151	0.9253800835
152	0.9253172562
153	0.925163955
154	0.9250586087
155	0.9249741428
156	0.9249023098
157	0.9248267341
158	0.9247583333
159	0.9246518769
160	0.9245368193
161	0.9244479849
162	0.9243208231
163	0.924244628
164	0.9241330766
165	0.9240641297
166	0.9239973082
167	0.9239175658
168	0.9238202295
169	0.9237419837
170	0.9236676713
171	0.9235944831
172	0.9234944767
173	0.9234505356
174	0.923381741
175	0.9233108852
176	0.9232409055
177	0.9231636471
178	0.9230896686
179	0.9229893588
180	0.9229229981
181	0.9228648062
182	0.9227576649
183	0.9226687261
184	0.9225985631
185	0.9225330588
186	0.9224474763
187	0.9224005969
188	0.9223221702
189	0.9222277412
190	0.9221785628
191	0.9221155575
192	0.9220326346
193	0.9219862725
194	0.9218612233
195	0.9218219815
196	0.9217790333
197	0.9216962859
198	0.9216214616
199	0.9215477884
200	0.9214449121
