iter	Passed	Remaining
0	31	31104
1	58	29205
2	85	28304
3	114	28628
4	146	29115
5	173	28773
6	200	28429
7	226	28053
8	253	27881
9	280	27746
10	306	27595
11	331	27296
12	356	27071
13	383	27043
14	409	26905
15	436	26863
16	463	26828
17	489	26728
18	520	26898
19	553	27128
20	587	27390
21	616	27389
22	646	27470
23	676	27512
24	708	27640
25	748	28024
26	779	28105
27	811	28182
28	848	28404
29	881	28503
30	910	28466
31	942	28512
32	975	28583
33	1005	28572
34	1035	28558
35	1063	28478
36	1093	28467
37	1119	28348
38	1144	28198
39	1172	28134
40	1199	28056
41	1224	27930
42	1250	27826
43	1277	27760
44	1302	27638
45	1330	27600
46	1356	27509
47	1382	27429
48	1411	27386
49	1437	27317
50	1462	27212
51	1486	27092
52	1512	27021
53	1538	26952
54	1565	26892
55	1592	26843
56	1620	26805
57	1645	26720
58	1670	26635
59	1695	26562
60	1720	26491
61	1746	26420
62	1771	26343
63	1796	26270
64	1822	26210
65	1850	26185
66	1877	26140
67	1904	26103
68	1929	26033
69	1954	25967
70	1979	25900
71	2004	25840
72	2030	25784
73	2057	25748
74	2082	25678
75	2107	25621
76	2133	25580
77	2159	25527
78	2188	25508
79	2212	25448
80	2238	25400
81	2266	25372
82	2291	25319
83	2316	25261
84	2342	25213
85	2367	25166
86	2393	25115
87	2418	25061
88	2445	25031
89	2470	24981
90	2498	24957
91	2525	24924
92	2551	24881
93	2575	24827
94	2600	24770
95	2625	24725
96	2649	24665
97	2677	24643
98	2702	24591
99	2730	24575
100	2755	24526
101	2779	24473
102	2805	24431
103	2830	24383
104	2856	24345
105	2883	24320
106	2910	24293
107	2935	24244
108	2959	24190
109	2985	24154
110	3011	24116
111	3037	24084
112	3064	24056
113	3089	24009
114	3113	23960
115	3138	23919
116	3162	23867
117	3190	23847
118	3215	23805
119	3242	23775
120	3266	23732
121	3291	23690
122	3318	23663
123	3344	23626
124	3370	23595
125	3394	23548
126	3420	23512
127	3446	23476
128	3471	23441
129	3499	23418
130	3525	23384
131	3552	23362
132	3576	23313
133	3601	23274
134	3625	23229
135	3650	23191
136	3675	23155
137	3699	23111
138	3731	23111
139	3755	23071
140	3782	23046
141	3809	23018
142	3836	22994
143	3861	22955
144	3887	22924
145	3913	22893
146	3938	22852
147	3963	22816
148	3988	22780
149	4014	22750
150	4040	22719
151	4064	22675
152	4088	22632
153	4116	22612
154	4142	22583
155	4167	22548
156	4191	22506
157	4217	22476
158	4244	22451
159	4269	22413
160	4295	22384
161	4321	22355
162	4348	22328
163	4372	22289
164	4397	22253
165	4422	22220
166	4447	22184
167	4472	22151
168	4500	22131
169	4527	22102
170	4551	22065
171	4576	22028
172	4601	21996
173	4626	21961
174	4651	21929
175	4676	21893
176	4700	21855
177	4727	21829
178	4751	21794
179	4779	21773
180	4806	21747
181	4830	21709
182	4854	21673
183	4881	21649
184	4906	21615
185	4932	21585
186	4958	21555
187	4983	21525
188	5009	21495
189	5034	21463
190	5059	21430
191	5083	21394
192	5108	21358
193	5135	21337
194	5162	21310
195	5186	21273
196	5212	21246
197	5237	21213
198	5262	21182
199	5287	21151
200	5318	21142
201	5343	21108
202	5367	21074
203	5394	21047
204	5417	21010
205	5442	20976
206	5467	20946
207	5496	20927
208	5522	20899
209	5547	20868
210	5573	20839
211	5598	20810
212	5623	20779
213	5649	20751
214	5678	20732
215	5703	20703
216	5728	20669
217	5754	20641
218	5778	20608
219	5802	20573
220	5829	20549
221	5855	20519
222	5881	20494
223	5907	20464
224	5931	20430
225	5957	20404
226	5983	20374
227	6007	20341
228	6034	20316
229	6059	20287
230	6087	20264
231	6113	20236
232	6138	20206
233	6164	20178
234	6188	20146
235	6212	20112
236	6237	20081
237	6262	20049
238	6287	20020
239	6311	19986
240	6337	19958
241	6363	19933
242	6389	19906
243	6417	19883
244	6442	19851
245	6466	19821
246	6495	19803
247	6526	19790
248	6553	19764
249	6577	19732
250	6603	19703
251	6629	19677
252	6654	19646
253	6678	19613
254	6701	19579
255	6727	19553
256	6754	19526
257	6778	19495
258	6804	19466
259	6827	19431
260	6850	19397
261	6880	19380
262	6906	19354
263	6933	19330
264	6959	19302
265	6985	19275
266	7010	19247
267	7036	19219
268	7061	19190
269	7087	19163
270	7113	19136
271	7137	19103
272	7163	19075
273	7188	19046
274	7214	19019
275	7238	18988
276	7264	18962
277	7289	18932
278	7313	18899
279	7338	18869
280	7362	18837
281	7386	18807
282	7411	18778
283	7436	18749
284	7462	18721
285	7488	18694
286	7513	18665
287	7539	18639
288	7565	18612
289	7590	18583
290	7616	18556
291	7641	18529
292	7666	18498
293	7690	18468
294	7716	18441
295	7740	18410
296	7766	18383
297	7791	18355
298	7819	18332
299	7844	18303
300	7871	18278
301	7896	18251
